Customer_ID,Age,Gender,City,Signup_Date,Loyalty_Status,Total_Orders,Average_Spend,Customer_Lifetime_Value
C100055,25,Male,Bengaluru,2024-03-26,Silver,3.0,321.31,963.92
C100056,29,Female,Mumbai,2023-04-26,New,7.0,326.81,2287.69
C100057,44,Female,Mumbai,2023-04-01,New,2.0,324.75,649.5
C100058,23,Female,Bengaluru,2025-02-07,New,12.0,379.02,4548.19
C100059,40,Male,Delhi NCR,2025-10-10,New,3.0,284.17,852.52
C100060,18,Male,Pune,2023-10-13,New,9.0,315.94,2843.45
C100061,28,Female,Hyderabad,2023-09-10,Silver,5.0,391.88,1959.39
C100062,32,Female,Pune,2024-12-05,New,4.0,349.03,1396.11
C100063,36,Male,Hyderabad,2024-06-10,Silver,3.0,220.11,660.33
C100064,37,Male,Delhi NCR,2023-05-24,New,1.0,340.86,340.86
C100065,38,Female,Delhi NCR,2024-11-18,New,9.0,305.62,2750.56
C100066,28,Female,Delhi NCR,2023-08-05,Platinum,2.0,329.44,658.88
C100067,27,Male,Delhi NCR,2023-04-29,Platinum,1.0,411.37,411.37
C100068,39,Female,Chennai,2024-04-23,Gold,4.0,265.56,1062.26
C100069,29,Male,Delhi NCR,2025-01-31,New,5.0,312.5,1562.52
C100070,20,Male,Pune,2024-06-20,Gold,6.0,363.35,2180.1
C100071,21,Female,Delhi NCR,2024-10-29,New,4.0,443.76,1775.03
C100072,23,Male,Delhi NCR,2023-09-03,Silver,9.0,438.3,3944.67
C100073,35,Male,Delhi NCR,2024-05-23,Gold,6.0,471.77,2830.64
C100074,32,Female,Bengaluru,2025-01-04,New,4.0,340.78,1363.14
C100075,37,Female,Pune,2024-06-28,Platinum,3.0,600.68,1802.03
C100076,27,Male,Kolkata,2023-09-04,Silver,9.0,296.27,2666.46
C100077,32,Female,Delhi NCR,2025-09-10,New,5.0,377.37,1886.84
C100078,37,Female,Hyderabad,2023-03-11,New,5.0,326.7,1633.5
C100079,28,Female,Chennai,2025-07-27,Gold,2.0,380.88,761.77
C100080,35,Other,Mumbai,2025-01-16,Silver,5.0,222.7,1113.49
C100081,25,Female,Delhi NCR,2023-04-26,New,3.0,325.68,977.05
C100082,28,Male,Delhi NCR,2023-09-20,New,3.0,172.03,516.09
C100083,28,Male,Delhi NCR,2024-01-15,Platinum,7.0,259.27,1814.92
C100084,20,Female,Ahmedabad,2025-09-13,New,5.0,293.03,1465.17
C100085,35,Other,Mumbai,2024-06-16,Platinum,4.0,225.84,903.38
C100086,27,Male,Bengaluru,2023-09-23,Silver,5.0,389.45,1947.23
C100087,31,Male,Chennai,2025-08-05,New,5.0,358.36,1791.79
C100088,35,Female,Mumbai,2023-05-02,New,4.0,445.71,1782.82
C100089,35,Male,Pune,2025-04-21,Gold,2.0,307.63,615.26
C100090,37,Male,Delhi NCR,2025-05-05,Silver,9.0,326.47,2938.27
C100091,30,Female,Bengaluru,2024-02-03,New,8.0,362.37,2898.93
C100092,27,Female,Delhi NCR,2023-02-14,New,4.0,303.98,1215.9
C100093,30,Female,Mumbai,2025-07-01,Gold,6.0,392.12,2352.75
C100094,18,Female,Mumbai,2025-09-23,Silver,5.0,275.52,1377.6
C100095,18,Male,Pune,2024-01-25,Silver,2.0,507.36,1014.73
C100096,19,Female,Pune,2023-07-11,New,6.0,350.28,2101.68
C100097,22,Male,Chennai,2023-10-07,Silver,3.0,401.99,1205.98
C100098,35,Male,Delhi NCR,2023-05-21,Gold,3.0,440.95,1322.84
C100099,23,Female,Lucknow,2024-09-20,New,4.0,253.32,1013.28
C100100,28,Female,Delhi NCR,2024-06-18,Platinum,6.0,493.86,2963.14
C100101,43,Female,Kolkata,2024-01-02,Gold,6.0,319.16,1914.98
C100102,28,Male,Chennai,2024-11-01,New,5.0,385.04,1925.21
C100103,38,Female,Hyderabad,2024-10-03,Gold,3.0,656.42,1969.26
C100104,23,Female,Bengaluru,2023-01-12,Silver,4.0,383.2,1532.78
C100105,29,Female,Chennai,2024-02-26,Silver,3.0,445.63,1336.89
C100106,22,Female,Chennai,2025-06-08,New,8.0,339.83,2718.65
C100107,28,Male,Delhi NCR,2025-03-30,Gold,7.0,332.74,2329.17
C100108,39,Female,Chennai,2025-05-30,Silver,3.0,346.4,1039.21
C100109,18,Female,Delhi NCR,2025-09-09,Gold,2.0,256.77,513.54
C100110,35,Female,Bengaluru,2023-03-05,New,6.0,490.4,2942.39
C100111,33,Female,Pune,2023-10-06,New,6.0,266.78,1600.7
C100112,26,Female,Kolkata,2024-04-18,Platinum,3.0,337.48,1012.45
C100113,18,Male,Bengaluru,2024-06-09,Silver,3.0,248.69,746.08
C100114,32,Male,Mumbai,2025-03-20,New,6.0,212.3,1273.8
C100115,26,Female,Bengaluru,2025-01-16,Gold,7.0,376.08,2632.57
C100116,33,Female,Mumbai,2024-12-28,New,6.0,397.29,2383.76
C100117,31,Female,Bengaluru,2023-06-13,Gold,4.0,523.75,2095.0
C100118,45,Male,Bengaluru,2024-11-28,Gold,4.0,266.85,1067.41
C100119,29,Male,Chennai,2025-03-30,New,6.0,330.9,1985.38
C100120,22,Female,Mumbai,2025-02-13,Silver,12.0,370.58,4446.9
C100121,33,Female,Delhi NCR,2024-08-23,Platinum,3.0,482.04,1446.13
C100122,33,Male,Bengaluru,2023-04-01,Platinum,8.0,265.16,2121.31
C100123,43,Female,Delhi NCR,2023-06-04,Silver,5.0,265.25,1326.26
C100124,31,Male,Mumbai,2025-02-04,Silver,9.0,360.73,3246.6
C100125,34,Male,Mumbai,2025-06-13,Silver,4.0,354.5,1417.99
C100126,44,Male,Bengaluru,2025-04-30,New,4.0,278.3,1113.22
C100127,20,Male,Mumbai,2024-03-15,Silver,9.0,436.24,3926.17
C100128,25,Male,Hyderabad,2024-08-27,New,4.0,330.45,1321.81
C100129,23,Female,Kolkata,2023-07-01,New,4.0,290.52,1162.08
C100130,27,Female,Hyderabad,2024-09-01,Silver,1.0,294.72,294.72
C100131,19,Female,Mumbai,2023-07-21,Gold,3.0,269.69,809.07
C100132,37,Male,Delhi NCR,2025-03-29,New,2.0,215.41,430.82
C100133,29,Male,Delhi NCR,2025-03-20,New,9.0,285.97,2573.7
C100134,18,Male,Hyderabad,2023-02-22,New,3.0,210.91,632.73
C100135,22,Female,Pune,2025-08-21,New,4.0,202.68,810.72
C100136,34,Male,Delhi NCR,2025-03-30,Platinum,1.0,209.84,209.84
C100137,39,Female,Delhi NCR,2024-01-25,Silver,4.0,342.9,1371.59
C100138,49,Female,Mumbai,2024-04-09,New,4.0,334.3,1337.22
C100139,57,Female,Mumbai,2023-03-23,Platinum,4.0,405.15,1620.59
C100140,35,Male,Jaipur,2025-08-22,New,5.0,317.64,1588.19
C100141,22,Male,Delhi NCR,2023-04-14,Silver,2.0,480.59,961.18
C100142,18,Male,Delhi NCR,2025-08-08,Gold,7.0,391.07,2737.48
C100143,33,Male,Mumbai,2024-11-05,Gold,5.0,291.08,1455.4
C100144,24,Female,Delhi NCR,2025-08-04,New,5.0,359.63,1798.16
C100145,27,Female,Delhi NCR,2024-01-17,Silver,0.0,0.0,0.0
C100146,25,Female,Bengaluru,2025-07-11,Silver,6.0,324.73,1948.4
C100147,30,Male,Mumbai,2024-03-14,Silver,3.0,231.69,695.06
C100148,41,Other,Delhi NCR,2023-12-27,New,7.0,286.15,2003.08
C100149,32,Other,Hyderabad,2023-12-14,Gold,6.0,336.96,2021.78
C100150,30,Male,Bengaluru,2025-09-07,Silver,7.0,250.78,1755.43
C100151,22,Female,Delhi NCR,2024-04-24,Gold,6.0,332.89,1997.36
C100152,18,Male,Kolkata,2024-05-07,Platinum,8.0,419.06,3352.47
C100153,27,Female,Mumbai,2024-10-24,Gold,11.0,286.64,3153.09
C100154,31,Female,Jaipur,2024-07-26,Gold,3.0,319.21,957.62
C100155,47,Female,Jaipur,2024-07-11,New,4.0,255.5,1022.0
C100156,32,Female,Bengaluru,2024-01-26,New,5.0,377.09,1885.44
C100157,40,Male,Mumbai,2023-06-19,Silver,3.0,242.68,728.05
C100158,27,Female,Kolkata,2025-10-21,New,8.0,293.12,2344.99
C100159,20,Female,Mumbai,2024-05-21,Silver,4.0,330.9,1323.62
C100160,22,Male,Delhi NCR,2025-09-28,Gold,12.0,291.79,3501.48
C100161,31,Male,Hyderabad,2024-04-19,Silver,3.0,526.31,1578.93
C100162,50,Female,Bengaluru,2024-09-09,New,5.0,342.42,1712.1
C100163,24,Female,Kolkata,2024-07-16,Gold,2.0,310.66,621.32
C100164,39,Male,Pune,2025-09-21,Silver,8.0,350.55,2804.41
C100165,23,Female,Kolkata,2023-04-24,Silver,7.0,372.52,2607.63
C100166,39,Female,Chennai,2024-06-17,Silver,5.0,334.68,1673.42
C100167,34,Male,Pune,2023-06-08,New,3.0,482.66,1447.99
C100168,30,Male,Bengaluru,2025-06-13,Gold,6.0,344.6,2067.57
C100169,31,Female,Lucknow,2024-06-30,New,4.0,317.68,1270.74
C100170,25,Female,Jaipur,2025-08-08,Silver,4.0,334.42,1337.7
C100171,35,Female,Kolkata,2023-10-11,New,4.0,241.8,967.21
C100172,27,Male,Chennai,2023-06-17,New,7.0,445.98,3121.83
C100173,20,Female,Hyderabad,2024-10-09,New,7.0,279.07,1953.49
C100174,19,Female,Mumbai,2023-05-31,New,5.0,319.7,1598.5
C100175,33,Female,Kolkata,2024-01-19,Gold,3.0,327.49,982.47
C100176,45,Male,Delhi NCR,2023-11-20,Gold,2.0,405.28,810.57
C100177,32,Female,Mumbai,2023-08-16,New,4.0,286.24,1144.97
C100178,30,Male,Bengaluru,2023-05-15,New,6.0,359.3,2155.79
C100179,31,Male,Hyderabad,2024-11-07,Gold,11.0,317.67,3494.32
C100180,43,Female,Hyderabad,2025-02-19,New,4.0,342.14,1368.57
C100181,33,Female,Delhi NCR,2024-02-10,Silver,4.0,295.56,1182.23
C100182,27,Male,Delhi NCR,2023-10-17,New,7.0,445.66,3119.64
C100183,41,Female,Mumbai,2023-06-12,Silver,6.0,260.12,1560.72
C100184,35,Male,Mumbai,2024-11-28,Platinum,7.0,282.37,1976.6
C100185,45,Male,Delhi NCR,2025-04-13,New,4.0,342.16,1368.66
C100186,33,Male,Pune,2024-07-18,Platinum,5.0,225.39,1126.95
C100187,20,Male,Mumbai,2024-03-20,Gold,6.0,364.88,2189.3
C100188,19,Female,Mumbai,2024-10-29,Platinum,7.0,263.47,1844.32
C100189,46,Female,Mumbai,2025-07-31,Gold,9.0,389.38,3504.43
C100190,47,Female,Bengaluru,2025-10-16,Gold,11.0,371.45,4085.93
C100191,29,Male,Kolkata,2023-07-19,Silver,7.0,380.22,2661.54
C100192,28,Male,Delhi NCR,2024-05-06,Gold,6.0,361.15,2166.91
C100193,31,Male,Mumbai,2025-06-21,New,3.0,244.48,733.45
C100194,21,Female,Pune,2024-10-13,Gold,7.0,310.15,2171.03
C100195,23,Male,Delhi NCR,2025-04-20,Silver,8.0,337.95,2703.62
C100196,37,Male,Kolkata,2025-10-22,New,2.0,261.32,522.64
C100197,27,Female,Jaipur,2023-04-18,New,2.0,153.51,307.03
C100198,31,Female,Hyderabad,2024-09-22,New,3.0,509.43,1528.3
C100199,30,Male,Jaipur,2024-07-01,Silver,5.0,457.63,2288.15
C100200,34,Male,Bengaluru,2023-10-21,New,6.0,451.27,2707.63
C100201,44,Female,Bengaluru,2024-11-04,New,4.0,422.9,1691.58
C100202,32,Female,Delhi NCR,2023-04-17,New,6.0,378.89,2273.35
C100203,37,Male,Delhi NCR,2024-05-25,Silver,4.0,329.33,1317.33
C100204,18,Female,Mumbai,2024-03-03,New,6.0,335.57,2013.4
C100205,31,Male,Bengaluru,2024-02-06,New,12.0,343.3,4119.58
C100206,23,Male,Bengaluru,2024-09-24,New,4.0,259.79,1039.15
C100207,20,Male,Delhi NCR,2025-08-30,Silver,5.0,422.44,2112.19
C100208,23,Male,Hyderabad,2025-09-02,New,3.0,312.92,938.77
C100209,28,Male,Delhi NCR,2024-12-22,Platinum,3.0,369.92,1109.77
C100210,31,Male,Mumbai,2023-12-07,New,6.0,314.78,1888.66
C100211,19,Female,Delhi NCR,2025-09-21,New,4.0,290.82,1163.28
C100212,31,Male,Pune,2025-10-25,Silver,6.0,323.18,1939.08
C100213,27,Female,Bengaluru,2025-05-21,Gold,5.0,406.62,2033.12
C100214,28,Female,Chennai,2025-06-18,Silver,9.0,345.27,3107.44
C100215,40,Male,Delhi NCR,2025-04-21,New,0.0,0.0,0.0
C100216,36,Male,Bengaluru,2025-02-21,Silver,1.0,688.1,688.1
C100217,43,Female,Jaipur,2025-01-17,Silver,4.0,340.48,1361.9
C100218,30,Other,Delhi NCR,2024-10-19,Silver,5.0,439.12,2195.58
C100219,25,Female,Bengaluru,2024-10-27,Platinum,8.0,359.64,2877.08
C100220,29,Male,Delhi NCR,2024-02-06,Platinum,4.0,394.74,1578.98
C100221,33,Male,Delhi NCR,2025-07-02,Silver,9.0,328.62,2957.55
C100222,33,Male,Bengaluru,2024-10-15,New,5.0,547.44,2737.19
C100223,21,Female,Delhi NCR,2024-09-23,Silver,6.0,218.94,1313.65
C100224,32,Female,Bengaluru,2025-02-03,Platinum,4.0,215.58,862.31
C100225,33,Male,Ahmedabad,2023-03-19,Platinum,3.0,357.89,1073.67
C100226,54,Female,Delhi NCR,2025-08-04,New,5.0,345.85,1729.24
C100227,48,Male,Delhi NCR,2024-08-23,New,2.0,275.46,550.91
C100228,23,Female,Kolkata,2025-08-30,New,9.0,282.83,2545.48
C100229,28,Male,Bengaluru,2023-04-16,Gold,13.0,308.9,4015.73
C100230,18,Female,Ahmedabad,2023-08-29,Silver,4.0,363.74,1454.95
C100231,26,Female,Mumbai,2025-09-04,New,3.0,269.46,808.38
C100232,34,Female,Hyderabad,2024-12-14,New,5.0,414.41,2072.07
C100233,42,Male,Ahmedabad,2024-10-28,New,6.0,306.13,1836.76
C100234,24,Female,Delhi NCR,2024-02-21,Gold,5.0,384.4,1921.98
C100235,25,Female,Chennai,2024-07-26,Silver,7.0,386.85,2707.95
C100236,18,Male,Hyderabad,2024-07-16,New,6.0,371.11,2226.65
C100237,30,Male,Kolkata,2023-07-23,Silver,1.0,308.43,308.43
C100238,21,Female,Delhi NCR,2024-08-06,Silver,2.0,363.3,726.61
C100239,26,Male,Bengaluru,2024-06-15,Silver,9.0,332.86,2995.73
C100240,23,Male,Delhi NCR,2023-11-19,Gold,3.0,283.06,849.18
C100241,30,Male,Jaipur,2023-12-19,New,8.0,288.64,2309.13
C100242,18,Male,Delhi NCR,2025-03-01,New,9.0,264.0,2375.98
C100243,18,Male,Delhi NCR,2024-11-26,New,7.0,366.55,2565.88
C100244,50,Female,Ahmedabad,2024-04-29,Silver,10.0,369.39,3693.87
C100245,19,Male,Mumbai,2024-09-14,Platinum,2.0,325.9,651.81
C100246,21,Female,Hyderabad,2023-09-06,New,5.0,551.71,2758.55
C100247,48,Male,Mumbai,2024-05-29,Gold,3.0,274.61,823.84
C100248,57,Male,Pune,2024-08-01,Gold,7.0,437.54,3062.79
C100249,20,Male,Delhi NCR,2023-09-18,Platinum,4.0,401.52,1606.09
C100250,28,Female,Bengaluru,2023-06-24,Silver,8.0,373.63,2989.04
C100251,34,Female,Hyderabad,2024-06-25,New,7.0,441.21,3088.49
C100252,47,Male,Mumbai,2025-08-27,Gold,6.0,274.09,1644.53
C100253,22,Male,Mumbai,2024-04-20,Gold,3.0,217.36,652.09
C100254,29,Male,Delhi NCR,2025-07-17,Silver,5.0,486.79,2433.95
C100255,38,Male,Pune,2025-05-26,Gold,6.0,275.82,1654.94
C100256,35,Female,Delhi NCR,2025-02-06,New,1.0,281.05,281.05
C100257,28,Male,Mumbai,2025-07-10,Silver,2.0,369.28,738.55
C100258,30,Female,Mumbai,2024-02-28,New,6.0,314.89,1889.34
C100259,19,Female,Bengaluru,2025-02-21,Silver,9.0,287.15,2584.37
C100260,29,Male,Pune,2023-05-30,New,6.0,316.72,1900.31
C100261,29,Female,Bengaluru,2023-11-26,New,10.0,338.78,3387.78
C100262,33,Male,Kolkata,2024-08-06,New,1.0,141.08,141.08
C100263,26,Female,Pune,2023-02-09,Silver,5.0,375.38,1876.89
C100264,35,Male,Kolkata,2025-02-27,Gold,7.0,206.32,1444.25
C100265,40,Female,Pune,2025-08-11,New,4.0,420.16,1680.66
C100266,32,Male,Delhi NCR,2023-04-19,Silver,6.0,349.04,2094.27
C100267,34,Male,Lucknow,2025-10-18,New,6.0,307.31,1843.84
C100268,31,Female,Chennai,2023-04-01,Silver,6.0,274.36,1646.14
C100269,31,Male,Hyderabad,2023-05-11,New,5.0,398.87,1994.35
C100270,25,Male,Delhi NCR,2025-02-24,Silver,5.0,445.92,2229.6
C100271,34,Female,Delhi NCR,2024-12-07,Gold,4.0,330.31,1321.25
C100272,30,Male,Hyderabad,2025-08-22,Silver,4.0,327.67,1310.66
C100273,50,Female,Bengaluru,2024-03-13,Silver,5.0,482.74,2413.69
C100274,45,Female,Pune,2024-08-12,Silver,1.0,351.93,351.93
C100275,34,Female,Mumbai,2023-06-02,New,5.0,366.96,1834.82
C100276,24,Male,Bengaluru,2024-12-13,New,2.0,683.56,1367.13
C100277,21,Male,Delhi NCR,2025-10-25,New,10.0,252.25,2522.5
C100278,42,Female,Delhi NCR,2024-09-06,Silver,4.0,292.04,1168.15
C100279,33,Male,Delhi NCR,2025-08-19,Gold,7.0,314.71,2202.96
C100280,35,Male,Kolkata,2024-02-10,Silver,6.0,345.7,2074.18
C100281,18,Male,Hyderabad,2025-10-09,Silver,5.0,255.58,1277.89
C100282,39,Male,Jaipur,2024-07-06,New,4.0,390.45,1561.78
C100283,35,Female,Chennai,2023-05-29,New,10.0,308.06,3080.57
C100284,21,Female,Chennai,2024-01-09,Platinum,5.0,351.12,1755.6
C100285,27,Female,Bengaluru,2024-05-21,New,4.0,234.58,938.34
C100286,33,Female,Kolkata,2023-03-11,Gold,6.0,356.92,2141.54
C100287,31,Male,Jaipur,2025-07-11,New,4.0,289.97,1159.87
C100288,28,Male,Pune,2023-09-04,New,5.0,306.78,1533.92
C100289,30,Male,Delhi NCR,2024-11-26,New,7.0,292.49,2047.42
C100290,29,Female,Pune,2025-08-05,Gold,6.0,323.73,1942.37
C100291,32,Male,Delhi NCR,2024-03-23,New,5.0,380.75,1903.73
C100292,44,Female,Delhi NCR,2024-09-19,Gold,1.0,382.36,382.36
C100293,18,Male,Pune,2024-06-16,New,5.0,303.99,1519.96
C100294,29,Female,Kolkata,2025-02-26,Silver,8.0,351.64,2813.14
C100295,33,Female,Delhi NCR,2023-02-09,Silver,6.0,340.77,2044.63
C100296,34,Female,Delhi NCR,2024-01-06,Silver,7.0,464.16,3249.15
C100297,28,Male,Ahmedabad,2024-09-21,New,9.0,291.41,2622.69
C100298,18,Other,Delhi NCR,2023-04-05,New,4.0,315.27,1261.1
C100299,34,Male,Delhi NCR,2025-06-04,Gold,4.0,312.47,1249.88
C100300,47,Male,Pune,2024-10-13,Silver,4.0,287.6,1150.4
C100301,18,Male,Kolkata,2023-01-03,New,5.0,401.03,2005.16
C100302,39,Male,Bengaluru,2023-01-13,Silver,5.0,345.01,1725.05
C100303,28,Female,Hyderabad,2023-06-14,New,3.0,270.57,811.71
C100304,30,Male,Mumbai,2024-11-14,Silver,4.0,349.27,1397.08
C100305,22,Male,Mumbai,2024-06-17,Silver,8.0,355.75,2845.99
C100306,28,Female,Chennai,2024-05-11,New,5.0,301.86,1509.29
C100307,43,Female,Kolkata,2024-07-31,Silver,2.0,337.38,674.76
C100308,36,Female,Mumbai,2024-05-24,Silver,6.0,500.65,3003.92
C100309,47,Female,Mumbai,2023-12-20,Platinum,4.0,517.54,2070.15
C100310,42,Male,Mumbai,2023-01-08,Silver,4.0,474.4,1897.58
C100311,35,Female,Delhi NCR,2023-01-29,Silver,5.0,524.14,2620.69
C100312,47,Male,Mumbai,2024-12-10,Gold,8.0,247.12,1976.92
C100313,35,Male,Delhi NCR,2025-02-04,New,4.0,186.56,746.26
C100314,38,Male,Chennai,2023-09-05,Silver,9.0,279.09,2511.82
C100315,28,Female,Mumbai,2023-09-08,New,4.0,332.04,1328.14
C100316,32,Male,Pune,2024-02-25,New,5.0,262.45,1312.26
C100317,25,Female,Hyderabad,2024-10-25,Silver,3.0,489.22,1467.67
C100318,40,Male,Kolkata,2024-09-03,New,3.0,282.11,846.32
C100319,20,Male,Jaipur,2024-07-29,Silver,10.0,284.28,2842.81
C100320,38,Male,Mumbai,2023-02-07,Silver,1.0,175.83,175.83
C100321,29,Male,Delhi NCR,2024-03-19,New,5.0,459.92,2299.62
C100322,42,Male,Chennai,2025-02-14,New,9.0,391.65,3524.81
C100323,38,Female,Delhi NCR,2024-08-30,Silver,6.0,320.5,1923.01
C100324,47,Female,Mumbai,2025-04-11,Silver,3.0,273.62,820.85
C100325,38,Male,Delhi NCR,2024-12-16,Gold,3.0,348.85,1046.54
C100326,18,Female,Ahmedabad,2025-07-15,New,7.0,367.19,2570.3
C100327,30,Male,Delhi NCR,2024-08-12,Gold,5.0,243.04,1215.21
C100328,20,Male,Bengaluru,2024-08-09,New,3.0,345.6,1036.8
C100329,26,Male,Bengaluru,2024-07-28,New,5.0,444.38,2221.9
C100330,45,Male,Pune,2023-09-30,Silver,9.0,314.74,2832.64
C100331,37,Male,Mumbai,2024-03-25,New,4.0,275.77,1103.08
C100332,25,Female,Kolkata,2023-06-23,New,8.0,296.2,2369.57
C100333,22,Male,Chennai,2024-03-18,New,7.0,358.12,2506.84
C100334,31,Female,Bengaluru,2023-06-04,Gold,6.0,368.58,2211.47
C100335,20,Male,Mumbai,2024-05-20,Gold,10.0,240.5,2405.01
C100336,25,Female,Kolkata,2025-09-09,Platinum,9.0,335.67,3021.01
C100337,34,Female,Chennai,2024-04-10,New,5.0,336.08,1680.38
C100338,41,Male,Bengaluru,2025-01-30,Silver,6.0,243.83,1463.0
C100339,36,Male,Mumbai,2024-03-28,Gold,6.0,255.8,1534.81
C100340,31,Male,Delhi NCR,2025-07-22,New,4.0,352.09,1408.36
C100341,34,Other,Delhi NCR,2023-08-05,New,6.0,212.84,1277.03
C100342,32,Female,Delhi NCR,2025-05-09,New,3.0,298.43,895.29
C100343,35,Male,Delhi NCR,2025-01-16,Silver,3.0,212.94,638.83
C100344,46,Female,Delhi NCR,2025-07-04,Silver,3.0,318.94,956.82
C100345,18,Male,Kolkata,2023-05-17,New,4.0,407.62,1630.48
C100346,26,Male,Chennai,2025-07-10,New,2.0,165.88,331.77
C100347,36,Female,Kolkata,2025-07-24,Gold,7.0,477.8,3344.59
C100348,18,Male,Hyderabad,2023-11-01,Silver,7.0,288.88,2022.13
C100349,44,Male,Hyderabad,2024-10-05,New,5.0,326.09,1630.43
C100350,34,Female,Delhi NCR,2024-08-27,New,8.0,316.64,2533.11
C100351,39,Male,Pune,2023-02-20,Platinum,7.0,312.31,2186.2
C100352,26,Female,Mumbai,2024-06-25,Silver,2.0,299.59,599.18
C100353,38,Male,Bengaluru,2024-11-09,Silver,5.0,266.92,1334.61
C100354,41,Male,Jaipur,2023-07-31,Silver,10.0,209.24,2092.4
C100355,33,Male,Kolkata,2024-01-08,Platinum,5.0,332.73,1663.63
C100356,33,Female,Mumbai,2024-08-25,New,1.0,361.89,361.89
C100357,33,Male,Chennai,2025-08-15,New,7.0,405.66,2839.59
C100358,23,Male,Delhi NCR,2023-03-04,New,5.0,300.38,1501.91
