Customer_ID,Age,Gender,City,Signup_Date,Loyalty_Status
C100064,37.0,Male,Delhi NCR,2023-05-24,New
C100065,38.0,Female,Delhi NCR,2024-11-18,New
C100066,28.0,Female,Delhi NCR,2023-08-05,Platinum
C100067,27.0,Male,Delhi NCR,2023-04-29,Platinum
C100068,39.0,Female,Chennai,2024-04-23,Gold
C100069,29.0,Male,Delhi NCR,2025-01-31,New
C100070,20.0,Male,Pune,2024-06-20,Gold
C100071,21.0,Female,Delhi NCR,2024-10-29,New
C100072,23.0,Male,Delhi NCR,2023-09-03,Silver
C100073,35.0,Male,Delhi NCR,2024-05-23,Gold
C100074,32.0,Female,Bengaluru,2025-01-04,New
C100075,37.0,Female,Pune,2024-06-28,Platinum
C100076,27.0,Male,Kolkata,2023-09-04,Silver
C100077,32.0,Female,Delhi NCR,2025-09-10,New
C100078,37.0,Female,Hyderabad,2023-03-11,New
C100079,28.0,Female,Chennai,2025-07-27,Gold
C100080,35.0,Other,Mumbai,2025-01-16,Silver
C100081,25.0,Female,Delhi NCR,2023-04-26,New
C100082,28.0,Male,Delhi NCR,2023-09-20,New
C100083,28.0,Male,Delhi NCR,2024-01-15,Platinum
C100084,20.0,Female,Ahmedabad,2025-09-13,New
C100085,35.0,Other,Mumbai,2024-06-16,Platinum
C100086,27.0,Male,Bengaluru,2023-09-23,Silver
C100087,31.0,Male,Chennai,2025-08-05,New
C100088,35.0,Female,Mumbai,2023-05-02,New
C100089,35.0,Male,Pune,2025-04-21,Gold
C100090,37.0,Male,Delhi NCR,2025-05-05,Silver
C100091,30.0,Female,Bengaluru,2024-02-03,New
C100092,27.0,Female,Delhi NCR,2023-02-14,New
C100093,30.0,Female,Mumbai,2025-07-01,Gold
C100094,18.0,Female,Mumbai,2025-09-23,Silver
C100095,18.0,Male,Pune,2024-01-25,Silver
C100096,19.0,Female,Pune,2023-07-11,New
C100097,22.0,Male,Chennai,2023-10-07,Silver
C100098,35.0,Male,Delhi NCR,2023-05-21,Gold
C100099,23.0,Female,Lucknow,2024-09-20,New
C100100,28.0,Female,Delhi NCR,2024-06-18,Platinum
C100101,43.0,Female,Kolkata,2024-01-02,Gold
C100102,28.0,Male,Chennai,2024-11-01,New
C100103,38.0,Female,Hyderabad,2024-10-03,Gold
C100104,23.0,Female,Bengaluru,2023-01-12,Silver
C100105,29.0,Female,Chennai,2024-02-26,Silver
C100106,22.0,Female,Chennai,2025-06-08,New
C100107,28.0,Male,Delhi NCR,2025-03-30,Gold
C100108,39.0,Female,Chennai,2025-05-30,Silver
C100109,18.0,Female,Delhi NCR,2025-09-09,Gold
C100110,35.0,Female,Bengaluru,2023-03-05,New
C100111,33.0,Female,Pune,2023-10-06,New
C100112,26.0,Female,Kolkata,2024-04-18,Platinum
C100113,18.0,Male,Bengaluru,2024-06-09,Silver
C100114,32.0,Male,Mumbai,2025-03-20,New
C100115,26.0,Female,Bengaluru,2025-01-16,Gold
C100116,33.0,Female,Mumbai,2024-12-28,New
C100117,31.0,Female,Bengaluru,2023-06-13,Gold
C100118,45.0,Male,Bengaluru,2024-11-28,Gold
C100119,29.0,Male,Chennai,2025-03-30,New
C100120,22.0,Female,Mumbai,2025-02-13,Silver
C100121,33.0,Female,Delhi NCR,2024-08-23,Platinum
C100122,33.0,Male,Bengaluru,2023-04-01,Platinum
C100123,43.0,Female,Delhi NCR,2023-06-04,Silver
C100124,,Male,Mumbai,2025-02-04,Silver
C100125,34.0,Male,Mumbai,2025-06-13,Silver
C100126,44.0,Male,Bengaluru,2025-04-30,New
C100127,20.0,Male,Mumbai,2024-03-15,Silver
C100128,25.0,Male,Hyderabad,2024-08-27,New
C100129,23.0,Female,Kolkata,2023-07-01,New
C100130,27.0,Female,Hyderabad,2024-09-01,Silver
C100131,19.0,Female,Mumbai,2023-07-21,Gold
C100132,37.0,Male,Delhi NCR,2025-03-29,New
C100133,29.0,Male,Delhi NCR,2025-03-20,New
C100134,18.0,Male,Hyderabad,2023-02-22,New
C100135,22.0,Female,Pune,2025-08-21,New
C100136,34.0,Male,Delhi NCR,2025-03-30,Platinum
C100137,39.0,Female,Delhi NCR,2024-01-25,Silver
C100138,49.0,Female,Mumbai,2024-04-09,New
C100139,57.0,Female,Mumbai,2023-03-23,Platinum
C100140,35.0,Male,Jaipur,2025-08-22,New
C100141,22.0,Male,Delhi NCR,2023-04-14,Silver
C100142,18.0,Male,Delhi NCR,2025-08-08,Gold
C100143,33.0,Male,Mumbai,2024-11-05,Gold
C100144,24.0,Female,Delhi NCR,2025-08-04,New
C100145,27.0,Female,Delhi NCR,2024-01-17,Silver
C100146,25.0,Female,Bengaluru,2025-07-11,Silver
C100147,30.0,Male,Mumbai,2024-03-14,Silver
C100148,41.0,Other,Delhi NCR,2023-12-27,New
C100149,32.0,Other,Hyderabad,2023-12-14,Gold
C100150,30.0,Male,Bengaluru,2025-09-07,Silver
C100151,22.0,Female,Delhi NCR,2024-04-24,Gold
C100152,18.0,Male,Kolkata,2024-05-07,Platinum
C100153,27.0,Female,Mumbai,2024-10-24,Gold
C100154,31.0,Female,Jaipur,2024-07-26,Gold
C100155,47.0,Female,Jaipur,2024-07-11,New
C100156,32.0,Female,Bengaluru,2024-01-26,New
C100157,40.0,Male,Mumbai,2023-06-19,Silver
C100158,27.0,Female,Kolkata,2025-10-21,New
C100159,20.0,Female,Mumbai,2024-05-21,Silver
C100160,22.0,Male,Delhi NCR,2025-09-28,Gold
C100161,,Male,Hyderabad,2024-04-19,Silver
C100162,50.0,Female,Bengaluru,2024-09-09,New
C100163,24.0,Female,Kolkata,2024-07-16,Gold
C100164,39.0,Male,Pune,2025-09-21,Silver
C100165,23.0,Female,Kolkata,2023-04-24,Silver
C100166,39.0,Female,Chennai,2024-06-17,Silver
C100167,34.0,Male,Pune,2023-06-08,New
C100168,30.0,Male,Bengaluru,2025-06-13,Gold
C100169,31.0,Female,Lucknow,2024-06-30,New
C100170,25.0,Female,Jaipur,2025-08-08,Silver
C100171,35.0,Female,Kolkata,2023-10-11,New
C100172,27.0,Male,Chennai,2023-06-17,New
C100173,20.0,Female,Hyderabad,2024-10-09,New
C100174,19.0,Female,Mumbai,2023-05-31,New
C100175,33.0,Female,Kolkata,2024-01-19,Gold
C100176,45.0,Male,Delhi NCR,2023-11-20,Gold
C100177,32.0,Female,Mumbai,2023-08-16,New
C100178,30.0,Male,Bengaluru,2023-05-15,New
C100179,,Male,Hyderabad,2024-11-07,Gold
C100180,43.0,Female,Hyderabad,2025-02-19,New
C100181,33.0,Female,Delhi NCR,2024-02-10,Silver
C100182,27.0,Male,Delhi NCR,2023-10-17,New
C100183,41.0,Female,Mumbai,2023-06-12,Silver
C100184,35.0,Male,Mumbai,2024-11-28,Platinum
C100185,45.0,Male,Delhi NCR,2025-04-13,New
C100186,33.0,Male,Pune,2024-07-18,Platinum
C100187,20.0,Male,Mumbai,2024-03-20,Gold
C100188,19.0,Female,Mumbai,2024-10-29,Platinum
C100189,46.0,Female,Mumbai,2025-07-31,Gold
C100190,47.0,Female,Bengaluru,2025-10-16,Gold
C100191,29.0,Male,Kolkata,2023-07-19,Silver
C100192,28.0,Male,Delhi NCR,2024-05-06,Gold
C100193,,Male,Mumbai,2025-06-21,New
C100194,21.0,Female,Pune,2024-10-13,Gold
C100195,23.0,Male,Delhi NCR,2025-04-20,Silver
C100196,37.0,Male,Kolkata,2025-10-22,New
C100197,27.0,Female,Jaipur,2023-04-18,New
C100198,31.0,Female,Hyderabad,2024-09-22,New
C100199,30.0,Male,Jaipur,2024-07-01,Silver
C100200,34.0,Male,Bengaluru,2023-10-21,New
C100201,44.0,Female,Bengaluru,2024-11-04,New
C100202,32.0,Female,Delhi NCR,2023-04-17,New
C100203,37.0,Male,Delhi NCR,2024-05-25,Silver
C100204,18.0,Female,Mumbai,2024-03-03,New
C100205,31.0,Male,Bengaluru,2024-02-06,New
C100206,23.0,Male,Bengaluru,2024-09-24,New
C100207,20.0,Male,Delhi NCR,2025-08-30,Silver
C100208,23.0,Male,Hyderabad,2025-09-02,New
C100209,28.0,Male,Delhi NCR,2024-12-22,Platinum
C100210,,Male,Mumbai,2023-12-07,New
C100211,19.0,Female,Delhi NCR,2025-09-21,New
C100212,31.0,Male,Pune,2025-10-25,Silver
C100213,27.0,Female,Bengaluru,2025-05-21,Gold
C100214,28.0,Female,Chennai,2025-06-18,Silver
C100215,40.0,Male,Delhi NCR,2025-04-21,New
C100216,36.0,Male,Bengaluru,2025-02-21,Silver
C100217,43.0,Female,Jaipur,2025-01-17,Silver
C100218,30.0,Other,Delhi NCR,2024-10-19,Silver
C100219,25.0,Female,Bengaluru,2024-10-27,Platinum
C100220,29.0,Male,Delhi NCR,2024-02-06,Platinum
C100221,33.0,Male,Delhi NCR,2025-07-02,Silver
C100222,33.0,Male,Bengaluru,2024-10-15,New
C100223,21.0,Female,Delhi NCR,2024-09-23,Silver
C100224,32.0,Female,Bengaluru,2025-02-03,Platinum
C100225,33.0,Male,Ahmedabad,2023-03-19,Platinum
C100226,54.0,Female,Delhi NCR,2025-08-04,New
C100227,48.0,Male,Delhi NCR,2024-08-23,New
C100228,23.0,Female,Kolkata,2025-08-30,New
C100229,28.0,Male,Bengaluru,2023-04-16,Gold
C100230,18.0,Female,Ahmedabad,2023-08-29,Silver
C100231,26.0,Female,Mumbai,2025-09-04,New
C100232,34.0,Female,Hyderabad,2024-12-14,New
C100233,42.0,Male,Ahmedabad,2024-10-28,New
C100234,24.0,Female,Delhi NCR,2024-02-21,Gold
C100235,25.0,Female,Chennai,2024-07-26,Silver
C100236,18.0,Male,Hyderabad,2024-07-16,New
C100237,30.0,Male,Kolkata,2023-07-23,Silver
C100238,21.0,Female,Delhi NCR,2024-08-06,Silver
C100239,26.0,Male,Bengaluru,2024-06-15,Silver
C100240,23.0,Male,Delhi NCR,2023-11-19,Gold
C100241,30.0,Male,Jaipur,2023-12-19,New
C100242,18.0,Male,Delhi NCR,2025-03-01,New
C100243,18.0,Male,Delhi NCR,2024-11-26,New
C100244,50.0,Female,Ahmedabad,2024-04-29,Silver
C100245,19.0,Male,Mumbai,2024-09-14,Platinum
C100246,21.0,Female,Hyderabad,2023-09-06,New
C100247,48.0,Male,Mumbai,2024-05-29,Gold
C100248,57.0,Male,Pune,2024-08-01,Gold
C100249,20.0,Male,Delhi NCR,2023-09-18,Platinum
C100250,28.0,Female,Bengaluru,2023-06-24,Silver
C100251,34.0,Female,Hyderabad,2024-06-25,New
C100252,47.0,Male,Mumbai,2025-08-27,Gold
C100253,22.0,Male,Mumbai,2024-04-20,Gold
C100254,29.0,Male,Delhi NCR,2025-07-17,Silver
C100255,38.0,Male,Pune,2025-05-26,Gold
C100256,35.0,Female,Delhi NCR,2025-02-06,New
C100257,28.0,Male,Mumbai,2025-07-10,Silver
C100258,30.0,Female,Mumbai,2024-02-28,New
C100259,19.0,Female,Bengaluru,2025-02-21,Silver
C100260,29.0,Male,Pune,2023-05-30,New
C100261,29.0,Female,Bengaluru,2023-11-26,New
C100262,33.0,Male,Kolkata,2024-08-06,New
C100263,26.0,Female,Pune,2023-02-09,Silver
C100264,35.0,Male,Kolkata,2025-02-27,Gold
C100265,40.0,Female,Pune,2025-08-11,New
C100266,32.0,Male,Delhi NCR,2023-04-19,Silver
C100267,34.0,Male,Lucknow,2025-10-18,New
C100268,31.0,Female,Chennai,2023-04-01,Silver
C100269,31.0,Male,Hyderabad,2023-05-11,New
C100270,25.0,Male,Delhi NCR,2025-02-24,Silver
C100271,34.0,Female,Delhi NCR,2024-12-07,Gold
C100272,30.0,Male,Hyderabad,2025-08-22,Silver
C100273,50.0,Female,Bengaluru,2024-03-13,Silver
C100274,45.0,Female,Pune,2024-08-12,Silver
C100275,34.0,Female,Mumbai,2023-06-02,New
C100276,24.0,Male,Bengaluru,2024-12-13,New
C100277,21.0,Male,Delhi NCR,2025-10-25,New
C100278,42.0,Female,Delhi NCR,2024-09-06,Silver
C100279,33.0,Male,Delhi NCR,2025-08-19,Gold
C100280,35.0,Male,Kolkata,2024-02-10,Silver
C100281,18.0,Male,Hyderabad,2025-10-09,Silver
C100282,39.0,Male,Jaipur,2024-07-06,New
C100283,35.0,Female,Chennai,2023-05-29,New
C100284,21.0,Female,Chennai,2024-01-09,Platinum
C100285,27.0,Female,Bengaluru,2024-05-21,New
C100286,33.0,Female,Kolkata,2023-03-11,Gold
C100287,31.0,Male,Jaipur,2025-07-11,New
C100288,28.0,Male,Pune,2023-09-04,New
C100289,30.0,Male,Delhi NCR,2024-11-26,New
C100290,29.0,Female,Pune,2025-08-05,Gold
C100291,32.0,Male,Delhi NCR,2024-03-23,New
C100292,44.0,Female,Delhi NCR,2024-09-19,Gold
C100293,18.0,Male,Pune,2024-06-16,New
C100294,29.0,Female,Kolkata,2025-02-26,Silver
C100295,33.0,Female,Delhi NCR,2023-02-09,Silver
C100296,34.0,Female,Delhi NCR,2024-01-06,Silver
C100297,28.0,Male,Ahmedabad,2024-09-21,New
C100298,18.0,Other,Delhi NCR,2023-04-05,New
C100299,34.0,Male,Delhi NCR,2025-06-04,Gold
C100300,47.0,Male,Pune,2024-10-13,Silver
C100301,18.0,Male,Kolkata,2023-01-03,New
C100302,39.0,Male,Bengaluru,2023-01-13,Silver
C100303,28.0,Female,Hyderabad,2023-06-14,New
C100304,30.0,Male,Mumbai,2024-11-14,Silver
C100305,22.0,Male,Mumbai,2024-06-17,Silver
C100306,28.0,Female,Chennai,2024-05-11,New
C100307,43.0,Female,Kolkata,2024-07-31,Silver
C100308,36.0,Female,Mumbai,2024-05-24,Silver
C100309,47.0,Female,Mumbai,2023-12-20,Platinum
C100310,42.0,Male,Mumbai,2023-01-08,Silver
C100311,35.0,Female,Delhi NCR,2023-01-29,Silver
C100312,47.0,Male,Mumbai,2024-12-10,Gold
C100313,35.0,Male,Delhi NCR,2025-02-04,New
C100314,38.0,Male,Chennai,2023-09-05,Silver
C100315,28.0,Female,Mumbai,2023-09-08,New
C100316,32.0,Male,Pune,2024-02-25,New
C100317,25.0,Female,Hyderabad,2024-10-25,Silver
C100318,40.0,Male,Kolkata,2024-09-03,New
C100319,20.0,Male,Jaipur,2024-07-29,Silver
C100320,38.0,Male,Mumbai,2023-02-07,Silver
C100321,29.0,Male,Delhi NCR,2024-03-19,New
C100322,42.0,Male,Chennai,2025-02-14,New
C100323,38.0,Female,Delhi NCR,2024-08-30,Silver
C100324,47.0,Female,Mumbai,2025-04-11,Silver
C100325,38.0,Male,Delhi NCR,2024-12-16,Gold
C100326,18.0,Female,Ahmedabad,2025-07-15,New
C100327,30.0,Male,Delhi NCR,2024-08-12,Gold
C100328,20.0,Male,Bengaluru,2024-08-09,New
C100329,26.0,Male,Bengaluru,2024-07-28,New
C100330,45.0,Male,Pune,2023-09-30,Silver
C100331,37.0,Male,Mumbai,2024-03-25,New
C100332,25.0,Female,Kolkata,2023-06-23,New
C100333,22.0,Male,Chennai,2024-03-18,New
C100334,31.0,Female,Bengaluru,2023-06-04,Gold
C100335,20.0,Male,Mumbai,2024-05-20,Gold
C100336,25.0,Female,Kolkata,2025-09-09,Platinum
C100337,34.0,Female,Chennai,2024-04-10,New
C100338,41.0,Male,Bengaluru,2025-01-30,Silver
C100339,36.0,Male,Mumbai,2024-03-28,Gold
C100340,,Male,Delhi NCR,2025-07-22,New
C100341,34.0,Other,Delhi NCR,2023-08-05,New
C100342,32.0,Female,Delhi NCR,2025-05-09,New
C100343,35.0,Male,Delhi NCR,2025-01-16,Silver
C100344,46.0,Female,Delhi NCR,2025-07-04,Silver
C100345,18.0,Male,Kolkata,2023-05-17,New
C100346,26.0,Male,Chennai,2025-07-10,New
C100347,36.0,Female,Kolkata,2025-07-24,Gold
C100348,18.0,Male,Hyderabad,2023-11-01,Silver
C100349,44.0,Male,Hyderabad,2024-10-05,New
C100350,34.0,Female,Delhi NCR,2024-08-27,New
C100351,39.0,Male,Pune,2023-02-20,Platinum
C100352,26.0,Female,Mumbai,2024-06-25,Silver
C100353,38.0,Male,Bengaluru,2024-11-09,Silver
C100354,41.0,Male,Jaipur,2023-07-31,Silver
C100355,33.0,Male,Kolkata,2024-01-08,Platinum
C100356,33.0,Female,Mumbai,2024-08-25,New
C100357,33.0,Male,Chennai,2025-08-15,New
C100358,23.0,Male,Delhi NCR,2023-03-04,New
C100359,30.0,Female,Delhi NCR,2025-08-22,Gold
C100360,30.0,Female,Delhi NCR,2025-04-20,New
C100361,34.0,Female,Delhi NCR,2025-05-21,New
C100362,40.0,Female,Pune,2023-02-19,New
C100363,21.0,Male,Mumbai,2024-08-07,Silver
C100364,30.0,Female,Delhi NCR,2024-01-15,Silver
C100365,44.0,Female,Lucknow,2025-08-04,New
C100366,24.0,Female,Hyderabad,2025-02-02,New
C100367,24.0,Female,Bengaluru,2024-10-31,Gold
C100368,33.0,Male,Bengaluru,2023-01-29,New
C100369,39.0,Male,Bengaluru,2025-06-20,Gold
C100370,,Female,Bengaluru,2024-05-19,New
C100371,43.0,Male,Hyderabad,2023-06-14,Gold
C100372,39.0,Male,Ahmedabad,2025-06-19,Silver
C100373,39.0,Male,Mumbai,2025-07-20,Silver
C100374,36.0,Female,Bengaluru,2024-05-26,New
C100375,52.0,Female,Delhi NCR,2024-11-12,New
C100376,29.0,Female,Kolkata,2024-09-20,Silver
C100377,18.0,Female,Mumbai,2023-11-09,Silver
C100378,45.0,Female,Mumbai,2025-02-09,Gold
C100379,27.0,Female,Lucknow,2025-10-24,Silver
C100380,32.0,Male,Hyderabad,2025-08-20,Silver
C100381,43.0,Female,Delhi NCR,2024-12-08,Gold
C100382,18.0,Male,Mumbai,2024-01-07,Silver
C100383,20.0,Male,Mumbai,2025-07-24,Gold
C100384,18.0,Male,Lucknow,2025-08-13,New
C100385,24.0,Female,Bengaluru,2023-01-06,New
C100386,35.0,Female,Mumbai,2023-12-15,Gold
C100387,36.0,Female,Hyderabad,2024-07-22,New
C100388,33.0,Female,Bengaluru,2024-08-18,New
C100389,,Female,Delhi NCR,2025-01-03,New
C100390,18.0,Male,Kolkata,2024-06-13,Silver
C100391,31.0,Female,Delhi NCR,2023-01-15,Silver
C100392,27.0,Female,Ahmedabad,2023-06-20,New
C100393,35.0,Female,Chennai,2025-02-24,New
C100394,37.0,Male,Delhi NCR,2024-12-15,New
C100395,32.0,Male,Pune,2024-11-01,New
C100396,38.0,Female,Chennai,2024-03-30,New
C100397,33.0,Male,Hyderabad,2023-10-11,New
C100398,36.0,Male,Hyderabad,2023-11-14,Gold
C100399,25.0,Male,Delhi NCR,2024-12-10,Silver
C100400,29.0,Male,Delhi NCR,2024-06-03,New
C100401,33.0,Male,Pune,2023-05-15,New
C100402,38.0,Other,Delhi NCR,2024-02-16,New
C100403,27.0,Female,Mumbai,2025-04-28,New
C100404,36.0,Female,Bengaluru,2024-09-09,New
C100405,29.0,Male,Delhi NCR,2025-06-11,Gold
C100406,30.0,Male,Chennai,2024-06-07,Gold
C100407,38.0,Male,Chennai,2024-05-15,Silver
C100408,18.0,Male,Kolkata,2025-09-04,New
C100409,19.0,Male,Delhi NCR,2024-06-06,Silver
C100410,18.0,Female,Bengaluru,2023-05-20,Platinum
C100411,18.0,Other,Kolkata,2024-02-19,New
C100412,25.0,Male,Mumbai,2024-10-29,Gold
C100413,,Male,Pune,2023-12-22,New
C100414,28.0,Male,Hyderabad,2024-02-27,Silver
C100415,33.0,Male,Mumbai,2025-06-18,New
C100416,41.0,Male,Mumbai,2024-03-24,Silver
C100417,43.0,Male,Pune,2023-11-11,New
C100418,30.0,Male,Delhi NCR,2023-04-22,Silver
C100419,43.0,Female,Kolkata,2024-02-19,Silver
C100420,32.0,Female,Hyderabad,2025-02-28,Silver
C100421,23.0,Male,Delhi NCR,2023-11-05,Silver
C100422,26.0,Male,Pune,2024-04-29,New
C100423,18.0,Male,Bengaluru,2024-11-07,Silver
C100424,23.0,Male,Delhi NCR,2025-08-13,New
C100425,28.0,Female,Jaipur,2025-04-18,Silver
C100426,38.0,Female,Pune,2023-10-22,New
C100427,46.0,Female,Hyderabad,2023-06-19,Silver
C100428,19.0,Female,Kolkata,2024-11-21,New
C100429,35.0,Male,Hyderabad,2023-09-20,Platinum
C100430,22.0,Male,Bengaluru,2024-02-09,Silver
C100431,35.0,Male,Delhi NCR,2023-04-18,New
C100432,30.0,Male,Delhi NCR,2025-03-08,Silver
C100433,18.0,Female,Bengaluru,2023-06-14,New
C100434,39.0,Male,Bengaluru,2024-01-28,New
C100435,26.0,Male,Chennai,2024-02-24,New
C100436,26.0,Male,Bengaluru,2023-02-13,Gold
C100437,21.0,Male,Hyderabad,2025-03-10,Platinum
C100438,25.0,Female,Kolkata,2024-09-29,Platinum
C100439,35.0,Male,Lucknow,2024-07-11,New
C100440,29.0,Male,Mumbai,2023-07-03,New
C100441,34.0,Male,Ahmedabad,2023-02-24,Gold
C100442,34.0,Female,Chennai,2023-02-27,New
C100443,43.0,Male,Delhi NCR,2024-10-05,Silver
C100444,28.0,Female,Mumbai,2025-02-09,Platinum
C100445,18.0,Male,Delhi NCR,2025-03-30,New
C100446,41.0,Male,Pune,2025-04-04,New
C100447,28.0,Female,Hyderabad,2024-02-10,Gold
C100448,41.0,Male,Bengaluru,2023-01-02,Silver
C100449,34.0,Male,Chennai,2023-09-10,Platinum
C100450,30.0,Female,Mumbai,2025-03-21,Silver
C100451,34.0,Male,Bengaluru,2025-02-25,New
C100452,49.0,Male,Kolkata,2024-06-06,Gold
C100453,50.0,Female,Lucknow,2023-01-25,Gold
C100454,32.0,Male,Chennai,2025-03-11,Platinum
C100455,32.0,Male,Delhi NCR,2025-04-20,Silver
C100456,41.0,Male,Delhi NCR,2023-08-22,Silver
C100457,23.0,Female,Delhi NCR,2025-04-08,New
C100458,34.0,Male,Bengaluru,2024-10-20,New
C100459,31.0,Male,Mumbai,2025-07-03,Platinum
C100460,34.0,Female,Ahmedabad,2024-10-07,Platinum
C100461,23.0,Female,Pune,2023-04-03,Silver
C100462,18.0,Female,Bengaluru,2024-10-28,Platinum
C100463,18.0,Male,Mumbai,2023-04-21,New
C100464,21.0,Male,Bengaluru,2023-09-24,Gold
C100465,27.0,Male,Bengaluru,2025-06-17,Silver
C100466,28.0,Female,Pune,2025-09-24,Silver
C100467,48.0,Male,Delhi NCR,2024-05-04,Silver
C100468,41.0,Female,Kolkata,2023-10-27,Silver
C100469,22.0,Male,Delhi NCR,2024-02-09,Gold
C100470,34.0,Female,Mumbai,2023-09-07,New
C100471,27.0,Female,Lucknow,2024-08-13,Gold
C100472,28.0,Male,Delhi NCR,2024-03-09,New
C100473,33.0,Female,Delhi NCR,2023-03-02,New
C100474,37.0,Female,Hyderabad,2024-09-20,Silver
C100475,28.0,Male,Bengaluru,2024-10-25,Gold
C100476,41.0,Male,Delhi NCR,2024-11-18,Gold
C100477,21.0,Female,Delhi NCR,2025-08-31,New
C100478,31.0,Male,Delhi NCR,2024-12-26,New
C100479,54.0,Male,Bengaluru,2024-11-26,Silver
C100480,33.0,Male,Mumbai,2023-08-06,Gold
C100481,44.0,Female,Chennai,2024-04-23,Platinum
C100482,32.0,Male,Kolkata,2024-03-23,Gold
C100483,36.0,Female,Delhi NCR,2025-09-16,Silver
C100484,30.0,Male,Mumbai,2024-05-03,Gold
C100485,29.0,Male,Delhi NCR,2024-12-10,New
C100486,24.0,Female,Mumbai,2024-07-10,Platinum
C100487,35.0,Male,Mumbai,2023-02-28,Silver
C100488,23.0,Male,Chennai,2025-08-21,New
C100489,37.0,Male,Mumbai,2024-11-21,Silver
C100490,41.0,Female,Bengaluru,2023-08-26,Gold
C100491,34.0,Male,Pune,2023-03-03,New
C100492,28.0,Male,Kolkata,2025-08-22,New
C100493,35.0,Male,Mumbai,2023-11-13,Gold
C100494,28.0,Male,Delhi NCR,2023-01-18,Platinum
C100495,39.0,Male,Lucknow,2024-09-26,Silver
C100496,18.0,Male,Mumbai,2023-01-17,New
C100497,28.0,Male,Pune,2023-08-11,Silver
C100498,18.0,Male,Pune,2025-07-09,New
C100499,18.0,Female,Bengaluru,2023-02-09,New
C100500,43.0,Female,Mumbai,2025-02-13,New
